jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|traffic:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=traffic,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=traffic, 
1038,  3435,  completed,  eof,  2015-03-17 05:03:32,  2015-03-17 05:03:46,  14,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  655,  None,  None,  0.05005,  11,  14,  3,  3.5,  None,  275,  0.05015,  18.2082477146,  28.7656837357, 
1038,  3466,  completed,  eof,  2015-03-17 05:03:33,  2015-03-17 05:03:44,  11,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  655,  None,  6.25,  0.05005,  11,  14,  3,  None,  None,  275,  0.05015,  19.8456351589,  31.3524548582, 
1038,  3487,  completed,  eof,  2015-03-17 05:03:33,  2015-03-17 05:03:45,  12,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  655,  1,  None,  0.05005,  11,  14,  3,  None,  None,  275,  0.05015,  20.5780178315,  32.5094848295, 
1038,  3498,  completed,  eof,  2015-03-17 05:03:34,  2015-03-17 05:03:50,  16,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|traffic:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  655,  None,  None,  0.05005,  11,  14,  3,  None,  272,  275,  0.05015,  18.9434278694,  29.9271332147, 
1038,  3499,  completed,  eof,  2015-03-17 05:03:45,  2015-03-17 05:03:58,  13,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  655,  None,  None,  0.0001,  9,  12,  1,  1.0,  None,  28,  0.1,  18.1935189342,  28.7424149708, 
1038,  3500,  completed,  eof,  2015-03-17 05:03:45,  2015-03-17 05:04:02,  17,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  655,  None,  0.5,  0.0001,  9,  12,  1,  None,  None,  28,  0.1,  17.8938392701,  28.2689761987, 
1038,  3501,  completed,  eof,  2015-03-17 05:03:46,  2015-03-17 05:03:58,  12,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  655,  1,  None,  0.0001,  9,  12,  1,  None,  None,  28,  0.1,  16.8911362978,  26.684889853, 
1038,  3502,  completed,  eof,  2015-03-17 05:03:50,  2015-03-17 05:04:00,  10,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|traffic:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  655,  None,  None,  0.0001,  9,  12,  1,  None,  22,  28,  0.1,  16.7438353042,  26.4521813651, 
1038,  3503,  completed,  eof,  2015-03-17 05:03:58,  2015-03-17 05:04:17,  19,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  655,  None,  None,  0.1,  12,  16,  5,  6.0,  None,  521,  0.0003,  20.0248575516,  31.6355932878, 
1038,  3514,  completed,  eof,  2015-03-17 05:03:59,  2015-03-17 05:04:13,  14,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.0.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  655,  None,  12.0,  0.1,  12,  16,  5,  None,  None,  521,  0.0003,  19.570002368,  30.9170057246, 
1038,  3515,  completed,  eof,  2015-03-17 05:04:00,  2015-03-17 05:04:14,  14,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  655,  1,  None,  0.1,  12,  16,  5,  None,  None,  521,  0.0003,  20.7081558028,  32.715078898, 
1038,  3516,  completed,  eof,  2015-03-17 05:04:03,  2015-03-17 05:04:23,  20,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|traffic:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  655,  None,  None,  0.1,  12,  16,  5,  None,  521,  521,  0.0003,  20.3681564897,  32.1779424933, 
1038,  3517,  completed,  eof,  2015-03-17 05:04:13,  2015-03-17 05:04:28,  15,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.75.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  655,  None,  None,  0.025075,  10,  13,  2,  4.75,  None,  151,  0.075075,  19.0637609999,  30.1172374374, 
1038,  3518,  completed,  eof,  2015-03-17 05:04:14,  2015-03-17 05:04:27,  13,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.125.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  655,  None,  9.125,  0.025075,  10,  13,  2,  None,  None,  151,  0.075075,  18.2567101098,  28.8422454102, 
1038,  3519,  completed,  eof,  2015-03-17 05:04:17,  2015-03-17 05:04:28,  11,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  655,  1,  None,  0.025075,  10,  13,  2,  None,  None,  151,  0.075075,  18.635591083,  29.4408076892, 
1038,  3520,  completed,  eof,  2015-03-17 05:04:23,  2015-03-17 05:04:38,  15,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|traffic:n_147.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  655,  None,  None,  0.025075,  10,  13,  2,  None,  147,  151,  0.075075,  18.0573344143,  28.5272684673, 
1038,  3521,  completed,  eof,  2015-03-17 05:04:27,  2015-03-17 05:04:40,  13,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.25.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  655,  None,  None,  0.075025,  11,  15,  4,  2.25,  None,  398,  0.025225,  20.4587551813,  32.3210717691, 
1038,  3522,  completed,  eof,  2015-03-17 05:04:28,  2015-03-17 05:04:38,  10,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.375.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  655,  None,  3.375,  0.075025,  11,  15,  4,  None,  None,  398,  0.025225,  19.7351803414,  31.1779565539, 
1038,  3523,  completed,  eof,  2015-03-17 05:04:28,  2015-03-17 05:04:39,  11,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  655,  1,  None,  0.075025,  11,  15,  4,  None,  None,  398,  0.025225,  20.2988752342,  32.0684908473, 
1038,  3524,  completed,  eof,  2015-03-17 05:04:38,  2015-03-17 05:04:54,  16,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|traffic:n_396.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  655,  None,  None,  0.075025,  11,  15,  4,  None,  396,  398,  0.025225,  19.9592778015,  31.5319893399, 
1038,  3535,  completed,  eof,  2015-03-17 05:04:39,  2015-03-17 05:04:51,  12,  modelParams|clParams|alpha_0.0145852851107.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.72020278056.modelParams|sensorParams|encoders|_classifierInput|n_52.modelParams|spParams|synPermInactiveDec_0.0989798227547,  655,  None,  None,  0.0145852851107,  9,  12,  2,  1.72020278056,  None,  52,  0.0989798227547,  17.5081309178,  27.6596279159, 
1038,  3536,  completed,  eof,  2015-03-17 05:04:39,  2015-03-17 05:04:50,  11,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.16747526299.modelParams|clParams|alpha_0.0106252494518.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_52.modelParams|spParams|synPermInactiveDec_0.0989798227547,  655,  None,  2.16747526299,  0.0106252494518,  9,  13,  2,  None,  None,  52,  0.0989798227547,  18.0876817995,  28.5752117565, 
1038,  3537,  completed,  eof,  2015-03-17 05:04:40,  2015-03-17 05:04:51,  11,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.00958991421899.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_80.modelParams|spParams|synPermInactiveDec_0.0955441272355,  655,  1,  None,  0.00958991421899,  9,  12,  1,  None,  None,  80,  0.0955441272355,  18.1284500705,  28.6396181293, 
1038,  3538,  completed,  eof,  2015-03-17 05:04:50,  2015-03-17 05:05:03,  13,  modelParams|clParams|alpha_0.0145852851107.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|traffic:n_93.modelParams|sensorParams|encoders|_classifierInput|n_52.modelParams|spParams|synPermInactiveDec_0.0989798227547,  655,  None,  None,  0.0145852851107,  9,  12,  2,  None,  93,  52,  0.0989798227547,  16.0130098104,  25.2976114498, 
1038,  3539,  completed,  eof,  2015-03-17 05:04:51,  2015-03-17 05:05:04,  13,  modelParams|clParams|alpha_0.00683814325661.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.33474624057.modelParams|sensorParams|encoders|_classifierInput|n_77.modelParams|spParams|synPermInactiveDec_0.0941177183451,  655,  None,  None,  0.00683814325661,  9,  12,  2,  1.33474624057,  None,  77,  0.0941177183451,  18.8208874935,  29.7335419504, 
1038,  3540,  completed,  eof,  2015-03-17 05:04:52,  2015-03-17 05:05:08,  16,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.095015,  655,  None,  0.5,  0.0001,  9,  12,  1,  None,  None,  28,  0.095015,  17.8938392701,  28.2689761987, 
1038,  3541,  completed,  eof,  2015-03-17 05:04:54,  2015-03-17 05:05:05,  11,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.095015,  655,  1,  None,  0.0001,  9,  12,  1,  None,  None,  28,  0.095015,  16.8911362978,  26.684889853, 
1038,  3542,  completed,  eof,  2015-03-17 05:05:03,  2015-03-17 05:05:14,  11,  modelParams|clParams|alpha_0.00683814325661.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|traffic:n_55.modelParams|sensorParams|encoders|_classifierInput|n_77.modelParams|spParams|synPermInactiveDec_0.0941177183451,  655,  None,  None,  0.00683814325661,  9,  12,  2,  None,  55,  77,  0.0941177183451,  16.615726018,  26.2497922461, 
1038,  3543,  completed,  eof,  2015-03-17 05:05:04,  2015-03-17 05:05:18,  14,  modelParams|clParams|alpha_0.0258187134779.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.77515180169.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0920773638544,  655,  None,  None,  0.0258187134779,  9,  12,  2,  2.77515180169,  None,  28,  0.0920773638544,  17.7027941415,  27.9671600198, 
1038,  3544,  completed,  eof,  2015-03-17 05:05:05,  2015-03-17 05:05:18,  13,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.10995052598.modelParams|clParams|alpha_0.00616549890357.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_52.modelParams|spParams|synPermInactiveDec_0.0929746455094,  655,  None,  2.10995052598,  0.00616549890357,  9,  12,  2,  None,  None,  52,  0.0929746455094,  17.9815489938,  28.4075414363, 
1038,  3545,  completed,  eof,  2015-03-17 05:05:08,  2015-03-17 05:05:21,  13,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.014084828438.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_108.modelParams|spParams|synPermInactiveDec_0.086103254471,  655,  1,  None,  0.014084828438,  9,  12,  1,  None,  None,  108,  0.086103254471,  18.8644553257,  29.8023711151, 
1038,  3546,  completed,  eof,  2015-03-17 05:05:14,  2015-03-17 05:05:29,  15,  modelParams|clParams|alpha_0.0258187134779.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|traffic:n_198.modelParams|sensorParams|encoders|_classifierInput|n_76.modelParams|spParams|synPermInactiveDec_0.0920773638544,  655,  None,  None,  0.0258187134779,  9,  12,  2,  None,  198,  76,  0.0920773638544,  17.9756679563,  28.3982504783, 
1038,  3547,  completed,  eof,  2015-03-17 05:05:18,  2015-03-17 05:05:33,  15,  modelParams|clParams|alpha_0.0115832858119.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.04005041141.modelParams|sensorParams|encoders|_classifierInput|n_77.modelParams|spParams|synPermInactiveDec_0.0911151297224,  655,  None,  None,  0.0115832858119,  9,  12,  2,  2.04005041141,  None,  77,  0.0911151297224,  18.9373401376,  29.9175157178, 
1038,  3548,  completed,  eof,  2015-03-17 05:05:18,  2015-03-17 05:05:35,  17,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_1.56371289448.modelParams|clParams|alpha_0.00786012472589.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0920124113773,  655,  None,  1.56371289448,  0.00786012472589,  9,  12,  1,  None,  None,  28,  0.0920124113773,  17.9948648936,  28.4285781099, 
1038,  3549,  completed,  eof,  2015-03-17 05:05:21,  2015-03-17 05:05:34,  13,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.00734245710949.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0902945636177,  655,  1,  None,  0.00734245710949,  9,  12,  1,  None,  None,  28,  0.0902945636177,  17.3310926459,  27.3799399955, 
1038,  3550,  completed,  eof,  2015-03-17 05:05:29,  2015-03-17 05:05:41,  12,  modelParams|clParams|alpha_0.0115832858119.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|traffic:n_78.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0911151297224,  655,  None,  None,  0.0115832858119,  9,  12,  2,  None,  78,  28,  0.0911151297224,  16.6625916025,  26.3238312533, 
1038,  3551,  completed,  eof,  2015-03-17 05:05:33,  2015-03-17 05:05:47,  14,  modelParams|clParams|alpha_0.0210735709226.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.06984763085.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0851099524771,  655,  None,  None,  0.0210735709226,  9,  12,  2,  2.06984763085,  None,  28,  0.0851099524771,  17.7221978231,  27.9978142693, 
1038,  3552,  completed,  eof,  2015-03-17 05:05:34,  2015-03-17 05:05:51,  17,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0133903741777.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_52.modelParams|spParams|synPermInactiveDec_0.086007234132,  655,  None,  0.5,  0.0133903741777,  9,  12,  1,  None,  None,  52,  0.086007234132,  18.569829948,  29.3369171864, 
1038,  3553,  completed,  eof,  2015-03-17 05:05:35,  2015-03-17 05:05:47,  12,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0118373713285.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_94.modelParams|spParams|synPermInactiveDec_0.0808536908532,  655,  1,  None,  0.0118373713285,  9,  12,  1,  None,  None,  94,  0.0808536908532,  18.889162111,  29.8414032935, 
1038,  3554,  completed,  eof,  2015-03-17 05:05:42,  2015-03-17 05:05:57,  15,  modelParams|clParams|alpha_0.0210735709226.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|traffic:n_175.modelParams|sensorParams|encoders|_classifierInput|n_76.modelParams|spParams|synPermInactiveDec_0.0851099524771,  655,  None,  None,  0.0210735709226,  9,  12,  2,  None,  175,  76,  0.0851099524771,  17.2958519075,  27.324266108, 
1038,  3555,  completed,  eof,  2015-03-17 05:05:47,  2015-03-17 05:06:01,  14,  modelParams|clParams|alpha_0.00571910638831.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.2752534757.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  655,  None,  None,  0.00571910638831,  9,  12,  1,  1.2752534757,  None,  28,  0.1,  18.2854641016,  28.8876714308, 
1038,  3556,  completed,  killed,  2015-03-17 05:05:47,  2015-03-17 05:05:52,  5,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  100,  None,  0.5,  0.0001,  9,  12,  1,  None,  None,  28,  0.1,  18.8067659232,  26.8775484077, 
1038,  3557,  completed,  eof,  2015-03-17 05:05:51,  2015-03-17 05:06:03,  12,  modelParams|clParams|alpha_0.00571910638831.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|traffic:n_49.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  655,  None,  None,  0.00571910638831,  9,  12,  1,  None,  49,  28,  0.1,  16.7372344007,  26.4417531511, 
1038,  3558,  completed,  eof,  2015-03-17 05:05:52,  2015-03-17 05:06:06,  14,  modelParams|clParams|alpha_0.0130194137131.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.65031932354.modelParams|sensorParams|encoders|_classifierInput|n_53.modelParams|spParams|synPermInactiveDec_0.0981156047621,  655,  None,  None,  0.0130194137131,  9,  12,  2,  1.65031932354,  None,  53,  0.0981156047621,  17.7833546262,  28.0944307742, 
1038,  3559,  completed,  eof,  2015-03-17 05:05:57,  2015-03-17 05:06:11,  14,  modelParams|clParams|alpha_0.0147978973014.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|traffic:n_94.modelParams|sensorParams|encoders|_classifierInput|n_64.modelParams|spParams|synPermInactiveDec_0.0969235392263,  655,  None,  None,  0.0147978973014,  9,  12,  2,  None,  94,  64,  0.0969235392263,  17.1748126739,  27.1330463723, 
1038,  3560,  completed,  eof,  2015-03-17 05:06:01,  2015-03-17 05:06:15,  14,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.11240671622.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  655,  None,  None,  0.0001,  9,  12,  2,  1.11240671622,  None,  28,  0.1,  17.8394511224,  28.1830529247, 
1038,  3561,  completed,  eof,  2015-03-17 05:06:03,  2015-03-17 05:06:13,  10,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|traffic:n_33.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  655,  None,  None,  0.0001,  9,  12,  2,  None,  33,  28,  0.1,  16.722295928,  26.4181531106, 
